PROVINCE,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region I - Ilocos Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAMPANGA," 4,481 "," 4,304 "," 4,435 "," 4,233 "," 3,697 "," 3,838 "," 3,760 "," 3,320 "," 3,593 "," 3,310 "," 2,285 "," 2,301 "," 2,665 "," 2,673 "," 3,132 "," 2,854 "," 3,243 "," 3,510 "," 3,854 "," 4,315 "," 3,568 "," 4,431 "," 4,752 "," 4,461 "," 4,619 "," 4,368 "," 4,636 "," 4,986 "," 4,997 "," 4,325 "," 3,942 "," 3,545 ", 855 
TARLAC, 982 , 938 ," 1,093 "," 1,032 "," 1,098 "," 1,128 "," 1,246 "," 1,062 "," 1,227 "," 1,020 ", 691 , 743 , 900 , 937 ," 1,016 ", 969 ," 1,203 "," 1,192 "," 1,294 "," 1,389 "," 1,283 "," 1,647 "," 1,927 "," 1,763 "," 1,662 "," 1,600 "," 1,641 "," 1,943 "," 1,865 "," 1,613 "," 1,484 "," 1,254 ", 283 
ZAMBALES," 4,088 "," 3,344 "," 3,469 "," 3,288 "," 4,485 "," 2,612 "," 2,099 "," 2,061 "," 2,146 "," 1,677 "," 1,141 "," 1,134 "," 1,446 "," 1,323 "," 1,434 "," 1,187 "," 1,487 "," 1,472 "," 1,749 "," 1,840 "," 1,434 "," 1,658 "," 1,856 "," 1,567 "," 1,495 "," 1,543 "," 1,543 "," 1,691 "," 1,527 "," 1,377 "," 1,471 "," 1,212 ", 323 
Sub-Total Central Luzon," 12,087 "," 11,198 "," 12,266 "," 11,559 "," 12,433 "," 10,849 "," 10,510 "," 9,502 "," 10,245 "," 8,951 "," 6,280 "," 6,456 "," 7,867 "," 7,805 "," 8,740 "," 8,215 "," 9,648 "," 10,152 "," 11,965 "," 12,546 "," 10,898 "," 12,927 "," 14,168 "," 13,280 "," 13,427 "," 12,624 "," 13,196 "," 15,199 "," 14,469 "," 12,598 "," 11,772 "," 10,478 "," 2,552 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region IV-A CALABARZON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATANGAS," 1,014 ", 941 ," 1,139 "," 1,097 "," 1,126 "," 1,333 "," 1,288 "," 1,103 "," 1,134 "," 1,024 ", 695 , 777 ," 1,091 "," 1,293 "," 1,453 "," 1,341 "," 1,661 "," 1,649 "," 2,067 "," 2,313 "," 2,317 "," 3,023 "," 3,452 "," 3,715 "," 3,460 "," 3,358 "," 3,339 "," 3,282 "," 3,136 "," 2,785 "," 2,529 "," 1,851 ", 521 
CAVITE," 2,323 "," 2,358 "," 2,650 "," 2,557 "," 2,591 "," 2,722 "," 2,812 "," 2,478 "," 2,802 "," 2,647 "," 1,894 "," 1,952 "," 2,609 "," 2,709 "," 2,772 "," 2,751 "," 3,259 "," 3,657 "," 4,506 "," 4,520 "," 3,931 "," 4,946 "," 5,130 "," 5,288 "," 4,895 "," 4,623 "," 5,001 "," 5,146 "," 5,277 "," 4,483 "," 4,227 "," 4,041 ", 952 
LAGUNA," 1,353 "," 1,432 "," 1,668 "," 1,745 "," 1,803 "," 1,821 "," 1,902 "," 1,718 "," 1,904 "," 1,810 "," 1,233 "," 1,254 "," 1,599 "," 1,991 "," 2,087 "," 1,990 "," 2,173 "," 2,679 "," 3,077 "," 3,076 "," 2,900 "," 3,125 "," 3,811 "," 3,574 "," 3,393 "," 3,598 "," 3,389 "," 3,716 "," 3,430 "," 2,999 "," 2,554 "," 2,230 ", 673 
QUEZON, 475 , 472 , 487 , 579 , 573 , 542 , 664 , 476 , 516 , 464 , 338 , 366 , 392 , 456 , 502 , 396 , 545 , 635 , 688 , 669 , 658 , 821 , 836 , 879 , 889 , 881 , 852 ," 1,030 ", 984 , 930 , 748 , 724 , 160 
RIZAL," 1,273 "," 1,278 "," 1,568 "," 1,463 "," 1,530 "," 1,701 "," 1,731 "," 1,550 "," 1,905 "," 1,632 "," 1,251 "," 1,225 "," 1,699 "," 1,915 "," 1,969 "," 1,983 "," 2,381 "," 2,705 "," 3,162 "," 2,964 "," 2,805 "," 3,107 "," 3,428 "," 3,216 "," 3,033 "," 3,102 "," 3,064 "," 3,446 "," 3,431 "," 3,101 "," 2,774 "," 2,358 ", 571 
Sub-Total CALABARZON," 6,438 "," 6,481 "," 7,512 "," 7,441 "," 7,623 "," 8,119 "," 8,397 "," 7,325 "," 8,261 "," 7,577 "," 5,411 "," 5,574 "," 7,390 "," 8,364 "," 8,783 "," 8,461 "," 10,019 "," 11,325 "," 13,500 "," 13,542 "," 12,611 "," 15,022 "," 16,657 "," 16,672 "," 15,670 "," 15,562 "," 15,645 "," 16,620 "," 16,258 "," 14,298 "," 12,832 "," 11,204 "," 2,877 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region IV-B MIMAROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARINDUQUE, 43 , 18 , 18 , 20 , 26 , 34 , 33 , 33 , 26 , 26 , 19 , 17 , 25 , 24 , 31 , 21 , 20 , 50 , 17 , 26 , 17 , 40 , 36 , 38 , 46 , 41 , 67 , 43 , 60 , 54 , 49 , 41 , 7 
OCCIDENTAL MINDORO, 40 , 33 , 53 , 17 , 47 , 17 , 47 , 74 , 48 , 46 , 47 , 41 , 38 , 36 , 27 , 34 , 56 , 53 , 51 , 50 , 39 , 68 , 73 , 88 , 77 , 62 , 77 , 105 , 80 , 82 , 63 , 83 , 23 
ORIENTAL MINDORO, 94 , 108 , 112 , 92 , 98 , 184 , 129 , 91 , 115 , 71 , 99 , 86 , 140 , 137 , 128 , 154 , 160 , 195 , 158 , 220 , 220 , 275 , 369 , 382 , 416 , 364 , 303 , 395 , 342 , 410 , 298 , 254 , 61 
PALAWAN, 21 , 24 , 32 , 33 , 35 , 41 , 45 , 18 , 55 , 37 , 47 , 42 , 38 , 50 , 57 , 64 , 81 , 65 , 118 , 75 , 82 , 110 , 124 , 132 , 123 , 144 , 125 , 136 , 172 , 123 , 162 , 172 , 43 
ROMBLON, 29 , 28 , 34 , 17 , 24 , 37 , 27 , 31 , 38 , 41 , 15 , 11 , 50 , 28 , 38 , 22 , 23 , 32 , 34 , 41 , 44 , 51 , 39 , 42 , 40 , 34 , 31 , 44 , 70 , 39 , 54 , 58 , 8 
Sub-Total MIMAROPA, 227 , 211 , 249 , 179 , 230 , 313 , 281 , 247 , 282 , 221 , 227 , 197 , 291 , 275 , 281 , 295 , 340 , 395 , 378 , 412 , 402 , 544 , 641 , 682 , 702 , 645 , 603 , 723 , 724 , 708 , 626 , 608 , 142 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region V - Bicol Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBAY, 210 , 156 , 203 , 209 , 205 , 258 , 201 , 184 , 232 , 238 , 145 , 149 , 175 , 231 , 220 , 214 , 271 , 327 , 418 , 302 , 225 , 355 , 308 , 385 , 307 , 321 , 358 , 486 , 497 , 407 , 422 , 344 , 77 
CAMARINES NORTE, 47 , 44 , 67 , 98 , 94 , 67 , 89 , 72 , 85 , 76 , 69 , 72 , 110 , 96 , 101 , 79 , 126 , 90 , 153 , 164 , 181 , 143 , 139 , 166 , 164 , 188 , 169 , 187 , 206 , 146 , 152 , 118 , 24 
CAMARINES SUR, 358 , 294 , 374 , 396 , 394 , 408 , 425 , 310 , 358 , 324 , 279 , 320 , 379 , 383 , 466 , 429 , 469 , 515 , 669 , 639 , 509 , 623 , 545 , 685 , 729 , 646 , 663 , 851 , 844 , 821 , 733 , 712 , 177 
CATANDUANES, 28 , 18 , 31 , 21 , 23 , 37 , 64 , 40 , 28 , 21 , 13 , 41 , 8 , 26 , 23 , 25 , 34 , 29 , 27 , 37 , 36 , 46 , 43 , 51 , 46 , 48 , 85 , 48 , 62 , 65 , 64 , 38 , 7 
MASBATE, 49 , 29 , 40 , 32 , 31 , 28 , 32 , 46 , 51 , 48 , 33 , 23 , 28 , 30 , 24 , 22 , 38 , 45 , 44 , 41 , 36 , 56 , 63 , 49 , 81 , 58 , 66 , 75 , 85 , 79 , 82 , 65 , 22 
SORSOGON, 74 , 68 , 97 , 59 , 95 , 75 , 81 , 83 , 93 , 93 , 65 , 67 , 67 , 71 , 106 , 102 , 81 , 100 , 127 , 111 , 133 , 140 , 138 , 153 , 149 , 180 , 166 , 145 , 204 , 164 , 151 , 177 , 31 
Sub-Total Bicol Region, 766 , 609 , 812 , 815 , 842 , 873 , 892 , 735 , 847 , 800 , 604 , 672 , 767 , 837 , 940 , 871 ," 1,019 "," 1,106 "," 1,438 "," 1,294 "," 1,120 "," 1,363 "," 1,236 "," 1,489 "," 1,476 "," 1,441 "," 1,507 "," 1,792 "," 1,898 "," 1,682 "," 1,604 "," 1,454 ", 338 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region VI - Western Visayas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKLAN, 125 , 79 , 136 , 98 , 131 , 148 , 141 , 108 , 157 , 121 , 101 , 65 , 122 , 136 , 124 , 147 , 170 , 120 , 165 , 204 , 190 , 191 , 230 , 215 , 215 , 258 , 283 , 321 , 289 , 204 , 202 , 209 , 35 
ANTIQUE, 53 , 40 , 74 , 65 , 71 , 106 , 93 , 51 , 73 , 66 , 57 , 47 , 50 , 61 , 69 , 74 , 111 , 110 , 93 , 132 , 107 , 95 , 118 , 128 , 146 , 140 , 196 , 221 , 192 , 178 , 177 , 162 , 30 
CAPIZ, 104 , 87 , 124 , 127 , 116 , 154 , 173 , 126 , 110 , 98 , 91 , 74 , 130 , 102 , 148 , 132 , 191 , 132 , 229 , 160 , 155 , 220 , 235 , 241 , 282 , 213 , 337 , 387 , 262 , 277 , 300 , 284 , 43 
GUIMARAS, 4 , 9 , 17 , 14 , 28 , 17 , 21 , 36 , 36 , 23 , 14 , 12 , 19 , 11 , 14 , 27 , 49 , 26 , 34 , 23 , 29 , 33 , 37 , 36 , 43 , 44 , 56 , 85 , 58 , 62 , 57 , 69 , 29 
ILOILO , 735 , 604 , 787 , 708 , 768 , 861 , 857 , 625 , 772 , 727 , 522 , 481 , 667 , 767 ," 1,017 ", 856 ," 1,081 "," 1,173 "," 1,443 "," 1,173 ", 964 ," 1,104 "," 1,284 "," 1,187 "," 1,419 "," 1,155 "," 1,382 "," 1,586 "," 1,471 "," 1,308 "," 1,489 "," 1,119 ", 250 
NEGROS OCCIDENTAL, 413 , 451 , 633 , 586 , 678 , 811 , 685 , 587 , 552 , 569 , 404 , 462 , 580 , 653 , 751 , 827 , 982 , 906 ," 1,394 "," 1,115 ", 894 , 930 ," 1,108 "," 1,206 "," 1,239 "," 1,081 "," 1,297 "," 1,519 "," 1,345 "," 1,194 "," 1,273 ", 990 , 265 
