PROVINCE,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region I - Ilocos Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVAO DEL SUR, 352 , 356 , 339 , 448 , 509 , 583 , 633 , 510 , 602 , 612 , 443 , 645 ," 1,098 "," 1,119 "," 1,451 "," 1,552 "," 1,730 "," 1,815 "," 2,129 "," 2,191 "," 2,123 "," 1,864 "," 1,942 "," 2,102 "," 2,535 "," 2,057 "," 2,181 "," 2,642 "," 2,561 "," 2,324 "," 2,253 "," 2,094 ", 568 
DAVAO ORIENTAL, 12 , 9 , 3 , 16 , 16 , 18 , 26 , 15 , 18 , 12 , 24 , 31 , 25 , 63 , 52 , 72 , 62 , 70 , 76 , 79 , 76 , 63 , 64 , 72 , 93 , 75 , 85 , 112 , 89 , 105 , 111 , 101 , 25 
Sub-Total Davao Region, 415 , 427 , 405 , 544 , 603 , 715 , 783 , 617 , 722 , 729 , 572 , 823 ," 1,361 "," 1,388 "," 1,728 "," 1,941 "," 2,139 "," 2,300 "," 2,706 "," 2,763 "," 2,663 "," 2,367 "," 2,461 "," 2,684 "," 3,197 "," 2,689 "," 2,823 "," 3,449 "," 3,434 "," 3,104 "," 2,986 "," 2,872 ", 773 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region XII - SOCCSKSARGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTABATO CITY  (a), 21 , 22 , 29 , 27 , 31 , 28 , 22 , 25 , 20 , 14 , 15 , 11 , 26 , 34 , 28 , 41 , 55 , 57 , 76 , 44 , 38 , 27 , 57 , 31 , 47 , 29 , 42 , 50 , 50 , 38 , 47 , 52 , 1 
NORTH COTABATO, 25 , 32 , 49 , 20 , 54 , 59 , 59 , 38 , 53 , 45 , 71 , 59 , 59 , 70 , 77 , 80 , 98 , 125 , 174 , 154 , 150 , 127 , 183 , 186 , 222 , 177 , 185 , 249 , 232 , 207 , 246 , 215 , 50 
SARANGANI, 2 , 9 , 5 , 31 , 20 , 15 , 7 , 7 , 30 , 21 , 12 , 15 , 30 , 17 , 47 , 63 , 78 , 54 , 48 , 95 , 80 , 47 , 41 , 67 , 54 , 42 , 62 , 75 , 73 , 54 , 75 , 69 , 9 
SOUTH COTABATO, 63 , 81 , 101 , 78 , 138 , 143 , 157 , 152 , 188 , 154 , 144 , 141 , 195 , 214 , 231 , 255 , 270 , 357 , 524 , 536 , 463 , 500 , 528 , 487 , 493 , 595 , 574 , 729 , 785 , 699 , 632 , 592 , 138 
SULTAN KUDARAT, 7 , 32 , 11 , 15 , 24 , 27 , 20 , 19 , 19 , 20 , 30 , 22 , 32 , 35 , 36 , 28 , 56 , 52 , 55 , 62 , 69 , 96 , 61 , 62 , 68 , 84 , 95 , 118 , 167 , 82 , 99 , 103 , 20 
Sub-Total SOCCSKSARGEN, 118 , 176 , 195 , 171 , 267 , 272 , 265 , 241 , 310 , 254 , 272 , 248 , 342 , 370 , 419 , 467 , 557 , 645 , 877 , 891 , 800 , 797 , 870 , 833 , 884 , 927 , 958 ," 1,221 "," 1,307 "," 1,080 "," 1,099 "," 1,031 ", 218 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region XIII - Caraga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGUSAN DEL NORTE, 80 , 68 , 98 , 91 , 107 , 96 , 120 , 86 , 133 , 129 , 83 , 139 , 148 , 156 , 175 , 172 , 205 , 212 , 370 , 316 , 281 , 341 , 283 , 298 , 318 , 340 , 298 , 361 , 415 , 336 , 303 , 327 , 57 
AGUSAN DEL SUR, 5 , 6 , 10 , 10 , 13 , 18 , 27 , 25 , 15 , 19 , 11 , 32 , 23 , 26 , 36 , 34 , 38 , 50 , 72 , 76 , 102 , 88 , 99 , 97 , 109 , 108 , 97 , 143 , 148 , 96 , 108 , 119 , 26 
SURIGAO DEL NORTE (still includes Dinagat Islands) (b), 22 , 48 , 41 , 58 , 68 , 71 , 78 , 62 , 67 , 74 , 53 , 69 , 61 , 47 , 97 , 83 , 129 , 134 , 169 , 132 , 119 , 136 , 184 , 170 , 183 , 147 , 168 , 183 , 199 , 195 , 120 , 157 , 31 
SURIGAO DEL SUR, 41 , 22 , 23 , 35 , 29 , 41 , 44 , 41 , 57 , 36 , 40 , 44 , 63 , 50 , 64 , 72 , 95 , 110 , 128 , 140 , 146 , 150 , 132 , 137 , 149 , 144 , 154 , 159 , 185 , 149 , 145 , 148 , 32 
Sub-Total Caraga, 148 , 144 , 172 , 194 , 217 , 226 , 269 , 214 , 272 , 258 , 187 , 284 , 295 , 279 , 372 , 361 , 467 , 506 , 739 , 664 , 648 , 715 , 698 , 702 , 759 , 739 , 717 , 846 , 947 , 776 , 676 , 751 , 146 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autonomous Region in Muslim Mindanao (ARMM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASILAN, 3 ,   , 5 , 3 , 2 , 9 , 2 ,   , 9 , 2 ,   , 3 , 2 , 5 , 3 , 4 , 2 , 6 , 10 , 13 , 1 , 2 , 7 , 2 , 8 ,, 2 ,, 4 , -   , 1 , 10 , 2 
LANAO DEL SUR,   , 9 , 1 , 2 , 5 ,   , 2 , 1 ,   , 1 , 1 , 1 , 2 , 3 , 5 ,   , 1 , 1 , 1 ,,, 2 , 1 , 1 , 5 , 3 , 5 , 13 , 6 , 5 , 9 , 5 , 2 
MAGUINDANAO (still includes Shariff Kabunsuan) (c), 2 , 3 , 1 , 3 , 2 , 2 , 3 , 5 , 8 , 2 , 1 , 14 , 23 , 4 , 5 , 11 , 10 , 31 , 15 , 19 , 4 , 5 , 15 , 13 , 12 , 10 , 13 , 28 , 11 , 14 , 20 , 20 , 4 
SULU, 2 , 2 , 2 , 4 , 1 , 2 ,   , 2 , 3 ,   , 1 ,   , 2 , 1 ,   , 2 ,   ,   ,   ,, 1 , 2 , 1 , 2 , 6 ,, 2 ,,, 2 , 1 ,,
TAWI-TAWI,   , 1 ,   ,   , 1 , 3 , 4 ,   ,   ,   ,   ,   ,   , 1 , 5 ,   ,   ,   ,   ,, 13 , 2 , 2 ,, 2 , 3 ,,,,,,,
Sub-Total ARMM, 7 , 15 , 9 , 12 , 11 , 16 , 11 , 8 , 20 , 5 , 3 , 18 , 29 , 14 , 18 , 17 , 13 , 38 , 26 , 32 , 19 , 13 , 26 , 18 , 33 , 16 , 22 , 41 , 21 , 21 , 31 , 35 , 8 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordillera Administrative Region (CAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRA, 101 , 111 , 111 , 130 , 161 , 160 , 171 , 145 , 244 , 123 , 123 , 131 , 127 , 134 , 102 , 115 , 155 , 150 , 206 , 180 , 187 , 183 , 198 , 250 , 240 , 200 , 226 , 300 , 265 , 263 , 217 , 199 , 51 
APAYAO, 6 , 20 , 8 , 3 , 4 , 10 , 14 , 27 , 22 , 11 , 9 , 4 , 7 , 2 , 12 , 6 , 14 , 16 , 19 , 25 , 14 , 27 , 37 , 20 , 43 , 27 , 47 , 64 , 40 , 54 , 45 , 50 , 6 
BENGUET, 915 , 675 , 768 , 766 , 797 , 855 , 852 , 749 , 794 , 841 , 569 , 703 , 991 , 881 ," 1,160 "," 1,068 "," 1,264 "," 1,144 "," 1,495 "," 1,233 "," 1,117 "," 1,255 "," 1,627 "," 1,640 "," 1,524 "," 1,467 "," 1,445 "," 2,164 "," 1,838 "," 1,675 "," 1,506 "," 1,206 ", 295 
IFUGAO, 17 , 10 , 21 , 11 , 31 , 22 , 29 , 15 , 20 , 12 , 19 , 8 , 11 , 23 , 24 , 28 , 43 , 46 , 47 , 36 , 37 , 37 , 50 , 74 , 79 , 47 , 79 , 124 , 100 , 104 , 116 , 82 , 22 
KALINGA, 17 , 12 , 14 , 15 , 22 , 14 , 42 , 21 , 20 , 14 , 4 , 21 , 18 , 23 , 32 , 23 , 39 , 25 , 25 , 22 , 25 , 51 , 61 , 119 , 49 , 59 , 65 , 122 , 121 , 117 , 110 , 103 , 6 
MOUNTAIN PROVINCE, 8 , 11 , 13 , 27 , 12 , 28 , 24 , 20 , 12 , 12 , 15 , 22 , 33 , 15 , 19 , 45 , 40 , 33 , 39 , 18 , 47 , 34 , 48 , 30 , 72 , 29 , 56 , 132 , 146 , 111 , 95 , 98 , 21 
Sub-Total CAR," 1,064 ", 839 , 935 , 952 ," 1,027 "," 1,089 "," 1,132 ", 977 ," 1,112 "," 1,013 ", 739 , 889 ," 1,187 "," 1,078 "," 1,349 "," 1,285 "," 1,555 "," 1,414 "," 1,831 "," 1,514 "," 1,427 "," 1,587 "," 2,021 "," 2,133 "," 2,007 "," 1,829 "," 1,918 "," 2,906 "," 2,510 "," 2,324 "," 2,089 "," 1,738 ", 401 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL CAPITAL REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BINONDO, (NCR,  FIRST DISTRICT)",,,,,,,,,,, 62 , 50 , 45 , 47 , 61 , 40 , 67 , 90 , 63 , 83 , 93 ,72,53,55,82,57,53,50,65,51,38,20,10
"ERMITA, (NCR,  FIRST DISTRICT)",,,,,,,,,,, 30 , 38 , 42 , 27 , 37 , 23 , 41 , 72 , 48 , 42 , 34 ,32,32,56,63, 47 , 51 , 43 , 55 ,31,38,38,11
"INTRAMUROS, (NCR,  FIRST DISTRICT)",,,,,,,,,,,, 7 , 10 , 4 ,, 4 , 29 , 41 , 15 , 8 , 5 ,15,6,7,3, 11 , 7 , 5 , 3 ,9,8,1,
"MALATE, (NCR,  FIRST DISTRICT)",   ,,,,,,,,,, 297 , 218 , 326 , 286 , 315 , 240 , 322 , 359 , 403 , 397 , 315 ,340,322,279,339, 279 , 254 , 322 , 279 ,196,227,143,43
"PACO, (NCR,  FIRST DISTRICT)",,,,,,,,,,, 111 , 127 , 126 , 151 , 169 , 158 , 175 , 161 , 199 , 205 , 132 ,180,172,191,143, 150 , 153 , 182 , 142 ,108,141,100,17
"PANDACAN, (NCR,  FIRST DISTRICT)",,,,,,,,,,, 89 , 124 , 154 , 126 , 158 , 122 , 132 , 140 , 186 , 141 , 132 ,174,160,165,137, 115 , 172 , 129 , 127 ,109,101,94,26
"PORT AREA, (NCR,  FIRST DISTRICT)",   ,,,,,,,,,,,,, 1 ,, 1 ,,,,, 2 ,3,1,,3, 1 , 2 , 4 , 7 ,,2,,3
"QUIAPO, (NCR,  FIRST DISTRICT)",   ,,,,,,,,,, 36 , 40 , 47 , 45 , 51 , 41 , 31 , 36 , 25 , 41 , 23 ,25,29,32,41, 46 , 30 , 30 , 20 ,25,24,13,2
"SAMPALOC, (NCR,  FIRST DISTRICT)",   ,   ,   ,,,,,,,, 737 , 690 ," 1,159 "," 1,059 "," 1,224 "," 1,079 "," 1,170 "," 1,271 "," 1,403 "," 1,340 "," 1,040 ",1141,1103,1069,995, 856 , 896 , 869 , 895 ,793,728,571,109
"SAN MIGUEL, (NCR,  FIRST DISTRICT)",,,,,,,,,,, 20 , 17 , 42 , 12 , 30 , 25 , 41 , 21 , 33 , 53 , 18 ,30,37,41,22, 28 , 16 , 26 , 35 ,20,24,11,1
"SAN NICOLAS, (NCR,  FIRST DISTRICT)",,,,,,,,,,, 2 ,,, 4 ,, 1 ,,, 2 ,, 3 ,,,,,, 8 ,,,,1,2,
"SANTA ANA, (NCR,  FIRST DISTRICT)",,,,,,,,,,, 188 , 200 , 206 , 204 , 192 , 197 , 201 , 265 , 237 , 254 , 216 ,217,180,193,205, 158 , 202 , 256 , 263 ,198,189,192,45
"SANTA CRUZ, (NCR,  FIRST DISTRICT)",,,,,,,,,,, 248 , 207 , 273 , 262 , 290 , 260 , 266 , 296 , 321 , 282 , 248 ,257,227,233,210, 177 , 193 , 244 , 231 ,214,142,149,24
"TONDO, (NCR,  FIRST DISTRICT)",   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 531 , 542 , 662 , 622 , 720 , 569 , 617 , 685 , 716 , 779 , 634 ,725,622,669,637, 591 , 593 , 655 , 565 ,556,598,480,92
"MANILA, (NCR, FIRST DISTRICT)"," 6,510 "," 6,167 "," 7,027 "," 6,779 "," 6,387 "," 6,401 "," 5,795 "," 4,956 "," 4,805 "," 3,982 ", 267 , 230 , 2 , 16 ,,,, 8 ,   ,,,,,,,,,,,,,,
"NCR, FIRST DISTRICT",,,,,,,,,,,,,,,,,,,, 11 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CITY OF MANDALUYONG, (NCR   SECOND DISTRICT)", 918 , 822 , 850 , 884 , 943 , 978 , 808 , 710 , 785 , 540 , 430 , 409 , 582 , 601 , 568 , 512 , 676 , 680 , 776 , 772 , 766 , 908 , 869 , 681 , 692 , 642 , 688 , 761 , 905 ,666,632,587,135
"CITY OF MARIKINA, (NCR   SECOND DISTRICT)", 946 , 827 , 908 , 949 , 915 ," 1,041 ", 983 , 806 , 853 , 735 , 487 , 523 , 619 , 798 , 759 , 733 , 797 , 887 ," 1,012 ", 969 , 845 , 893 , 884 , 852 , 763 , 745 , 728 , 830 , 825 ,692,685,591,127
"CITY OF PASIG, (NCR   SECOND DISTRICT)", 875 , 820 , 877 , 946 , 935 , 991 ," 1,052 ", 985 ," 1,086 ", 935 , 684 , 704 , 906 ," 1,072 "," 1,119 "," 1,044 "," 1,272 "," 1,267 "," 1,669 "," 1,452 "," 1,113 "," 1,210 "," 1,350 "," 1,183 "," 1,141 "," 1,100 "," 1,044 "," 1,372 "," 1,258 ",1120,960,930,191
"QUEZON CITY, (NCR   SECOND DISTRICT)"," 6,940 "," 6,789 "," 7,309 "," 7,216 "," 7,325 "," 7,674 "," 7,168 "," 6,067 "," 6,282 "," 5,556 "," 3,926 "," 4,165 "," 5,421 "," 5,427 "," 5,630 "," 5,226 "," 5,790 "," 6,313 "," 7,289 "," 6,870 "," 5,638 "," 5,923 "," 6,125 "," 5,811 "," 5,696 "," 5,381 "," 5,013 "," 5,584 "," 5,330 ",4569,4200,3505,933
"SAN JUAN, (NCR   SECOND DISTRICT)", 565 , 579 , 589 , 509 , 518 , 567 , 480 , 352 , 352 , 336 , 212 , 216 , 250 , 287 , 380 , 455 , 514 , 439 , 544 , 418 , 397 , 379 , 357 , 342 , 478 , 274 , 190 , 228 , 240 ,170,170,154,32
NCR SECOND DISTRICT,,,,,,,,,,,,,,,,,, 9 ,   , 2 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,   ,,,,,,,,,,,,,,,
"CITY OF VALENZUELA, (NCR   THIRD DISTRICT)", 461 , 532 , 618 , 616 , 598 , 606 , 686 , 594 , 668 , 553 , 425 , 381 , 469 , 426 , 535 , 497 , 536 , 669 , 720 , 735 , 677 , 679 , 755 , 654 , 785 , 712 , 752 , 864 , 776 ,732,550,540,139
"KALOOKAN CITY, (NCR   THIRD DISTRICT)"," 1,129 "," 1,192 "," 1,562 "," 1,593 "," 1,482 "," 1,672 "," 1,510 "," 1,640 "," 1,811 "," 1,768 "," 1,243 "," 1,320 "," 1,269 "," 1,178 "," 1,174 "," 1,161 "," 1,247 "," 1,427 "," 1,788 "," 1,765 "," 1,665 "," 1,669 "," 1,801 "," 1,695 "," 1,597 "," 1,626 "," 1,720 "," 1,844 "," 1,856 ",1465,1312,1209,338
"MALABON, (NCR   THIRD DISTRICT)", 454 , 442 , 459 , 549 , 501 , 470 , 498 , 395 , 453 , 392 , 311 , 257 , 348 , 293 , 321 , 322 , 329 , 368 , 420 , 395 , 337 , 360 , 377 , 371 , 404 , 296 , 331 , 366 , 303 ,337,264,244,67
"NAVOTAS, (NCR   THIRD DISTRICT)", 189 , 202 , 197 , 232 , 203 , 171 , 190 , 175 , 181 , 151 , 118 , 133 , 155 , 173 , 130 , 152 , 196 , 177 , 242 , 186 , 206 , 179 , 177 , 210 , 222 , 152 , 188 , 207 , 175 ,178,138,125,29
NCR THIRD DISTRICT,,,,,,,,,,,,,,,,,, 2 ,, 1 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CITY OF LAS PIÑAS, (NCR   FOURTH DISTRICT)"," 1,216 "," 1,200 "," 1,213 "," 1,357 "," 1,321 "," 1,480 "," 1,531 "," 1,220 "," 1,237 "," 1,205 ", 866 , 914 ," 1,143 "," 1,215 "," 1,255 "," 1,069 "," 1,252 "," 1,432 "," 1,795 "," 1,736 "," 1,465 "," 1,411 "," 1,541 "," 1,337 "," 1,365 "," 1,224 "," 1,426 "," 1,405 "," 1,453 ",1158,1037,935,223
"CITY OF MAKATI, (NCR   FOURTH DISTRICT)"," 1,728 "," 1,683 "," 1,774 "," 1,711 "," 1,664 "," 1,703 "," 1,712 "," 1,297 "," 1,372 "," 1,132 ", 822 , 822 ," 1,050 "," 1,115 "," 1,020 ", 994 ," 1,184 "," 1,425 "," 1,493 "," 1,371 "," 1,296 "," 1,298 "," 1,266 "," 1,203 "," 1,145 "," 1,128 "," 1,244 "," 1,320 "," 1,294 ",1101,1009,885,191
"CITY OF MUNTINLUPA, (NCR   FOURTH DISTRICT)", 568 , 534 , 643 , 517 , 560 , 664 , 642 , 606 , 605 , 521 , 371 , 335 , 501 , 467 , 521 , 504 , 580 , 677 , 694 , 785 , 575 , 691 , 739 , 705 , 616 , 572 , 603 , 656 , 627 ,547,507,475,122
"CITY OF PARAÑAQUE, (NCR   FOURTH DISTRICT)"," 1,543 "," 1,401 "," 1,598 "," 1,637 "," 1,701 "," 1,933 "," 1,735 "," 1,566 "," 1,357 "," 1,323 ", 898 , 883 ," 1,218 "," 1,216 "," 1,235 "," 1,221 "," 1,408 "," 1,556 "," 1,677 "," 1,591 "," 1,453 "," 1,452 "," 1,414 "," 1,263 "," 1,343 "," 1,210 "," 1,176 "," 1,248 "," 1,263 ",1044,1024,844,208
"PASAY CITY, (NCR   FOURTH DISTRICT)"," 1,045 "," 1,012 "," 1,130 "," 1,201 "," 1,134 "," 1,197 "," 1,131 "," 1,006 "," 1,091 ", 851 , 642 , 643 , 709 , 737 , 911 , 882 ," 1,156 "," 1,076 "," 1,349 "," 1,270 ", 948 , 835 , 843 , 698 , 773 , 785 , 750 , 661 , 687 ,585,485,437,110
"PATEROS, (NCR   FOURTH DISTRICT)", 106 , 117 , 124 , 99 , 101 , 99 , 113 , 84 , 118 , 84 , 55 , 59 , 80 , 65 , 64 , 68 , 72 , 124 , 129 , 130 , 100 , 102 , 113 , 112 , 87 , 79 , 97 , 85 , 95 ,84,62,54,14
"TAGUIG, (NCR   FOURTH DISTRICT)", 177 , 224 , 292 , 280 , 251 , 366 , 309 , 329 , 355 , 305 , 250 , 294 , 359 , 402 , 444 , 447 , 477 , 508 , 613 , 660 , 677 , 863 , 815 , 861 , 944 , 835 , 883 , 990 , 881 ,855,768,752,174
NCR FOURTH DISTRICT,,,,,,,,,,,,,,,,,, 4 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Total National Capital Region," 25,370 "," 24,543 "," 27,170 "," 27,075 "," 26,539 "," 28,013 "," 26,343 "," 22,788 "," 23,411 "," 20,369 "," 14,358 "," 14,548 "," 18,173 "," 18,338 "," 19,313 "," 18,047 "," 20,578 "," 22,485 "," 25,861 "," 24,744 "," 21,053 "," 22,063 "," 22,370 "," 20,968 "," 20,931 "," 19,277 "," 19,463 "," 21,236 "," 20,655 "," 17,613 "," 16,064 "," 14,081 "," 3,416 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
